Stocks;Ticker
A2A;A2A.MI
Amplifon;AMP.MI
Atlantia;ATL.MI
AzimutHolding;AZM.MI
BancaGenerali ;BGN.MI
Bancamediolanum;BMED.MI
BancoBPM;BAMI.MI
BPER Banca;BPE.MI
BuzziUnicem;BZU.MI
Campari;CPR.MI
CNH Industrial;CNHI.MI
DiaSorin;DIA.MI
Enel;ENEL.MI
Eni;ENI.MI
EXOR ;EXO.MI
Ferrari;RACE.MI
FinecoBank;FBK.MI
Generali;G.MI
HERA;HER.MI
Interpump Group;IP.MI
Intesa Sanpaolo;ISP.MI
Inwit;INW.MI
Italgas;IG.MI
Leonardo;LDO.MI
Mediobanca;MB.MI
Moncler;MONC.MI
Nexi Capital;NEXI.MI
Pirelli;PIRC.MI
PosteItaliane ;PST.MI
Prysmian;PRY.MI
Recordati;REC.MI
SalvatoreFerragamo;SPM.MI
SNAM;SRG.MI
Stellantis;STLA.MI
STMicroelectronics;STM.MI
Telecom Italia;TIT.MI
Tenaris;TEN.MI
TERNA;TRN.MI
UniCredit;UCG.MI
Unipol Gruppo ;UNI.MI
